ID|Name|Dist|SpT|Teff|Lstar|Mstar|iflar|ra_c|dec_c
SzCha|J10581677-7717170|160|K2|4900|1.17|1.259|0.3|10h58m16.65539s|-77d17m17.02698s
CRCha|J10590699-7701404|160|K0|5110|3.26|1.698|0.3|10h59m06.87389s|-77d01m40.19168s
T10|J11004022-7619280|160|M4|3270|0.1|0.24|0.3|11h00m40.14154s|-76d19m28.00477s
CSCha|J11022491-7733357|160|K2|4900|1.45|1.349|0.3|11h02m24.77274s|-77d33m35.55024s
CTChaA|J11040909-7627193|160|K5|4350|1.50|0.871|0.3|11h04m09.01729s|-76d27m19.27961s
ESOHa559|J11062554-7633418|160|M5.5|3060|0.028|0.1479|0.3|11h06m25.417472s|-76d33m41.851290s
T28|J11074366-7739411|160|M1|3705|0.30|0.5248|0.3|11h07m43.57363s|-77d39m41.08090s
ESOHa562|J11080297-7738425|160|M1|3705|0.12|0.631|0.3|11h08m02.87738s|-77d38m42.56901s
T33|J11081509-7733531|160|K0|5110|1.26|1.072|0.3|11h08m15.40023s|-77d33m53.36132s
T40|J11092379-7623207|160|M0.5|3780|0.55|0.5129|0.3|11h09m23.70401s|-76d23m20.77279s
ISO207|J11094742-7726290|160|M1|3705|0.1|0.6026|0.3|11h09m47.28907s|-77d26m29.08483s
WWCha|J11100010-7634578|160|K0|5110|2.68|1.6218|0.3|11h09m59.986226s|-76d34m57.832382s
